# vocab_proposals — エージェントによる採否の【提案】。決定ではない
# 生成 2026-08-25 / 対象 vocab_manifest.json の needs_review 全件
# proposed 列: adopted(採用提案) / rejected(除外提案) / hold(判断が割れるので人手を仰ぐ)
# approved 列に adopted / rejected を書けば提案を上書きできる。空欄なら提案どおり
# 提案の作り方: 明示した除外語と保留語を列挙し、残りはすべて採用提案とした
#   判定基準は SPEC §4.2。この表は curate.py から読まれない(承認後に vocab_decisions.tsv へ反映する)
# 承認 2026-08-25: 採用提案のみを承認した。rejected 提案 25 語と hold 20 語は needs_review のまま据え置く
word	freq	ctx_types	proposed	reason	approved
もうもう	6		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ちっちっ	6		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぷっぷっ	6		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぱかぱか	6		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
くなくな	6		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
じょじょ	6		rejected	徐々。漢語反復	
みりみり	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぱきぱき	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
じゃじゃ	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
たんたん	5		rejected	淡々/坦々。漢語反復	
たぷたぷ	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぜえぜえ	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
さいさい	5		rejected	再々。漢語反復	
びらびら	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
こよこよ	5		hold	用例が少なく語義を特定できない	
はりはり	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
かすかす	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
のしのし	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
もさもさ	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
きゅきゅ	5		hold	用例が少なく語義を特定できない	
ぷるぷる	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ぷくぷく	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
なぞなぞ	5		rejected	謎々。名詞反復	
ほいほい	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ちまちま	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
ごほごほ	5		adopted	音・声・様態を模す語(SPEC §4.2 採用)	adopted
まえまえ	5		rejected	前々。漢語反復	
